Geneid	length	WT_Pmm2_5_4	WT_Pmm2_5_3	WT_Pmm2_5_2	Mutant_Pmm2_5_5	Mutant_Pmm2_5_2	Mutant_Pmm2_5_4	Mutant_Pmm2_5_1	Mutant_Pmm2_5_3
ftr73	2751	122	341	35	45	54	10	0	67
ftr72	1785	91	229	39	28	13	2	7	105
ftr91	3076	111	322	25	40	2	0	11	0
slc25a36b	1921	206	316	1232	1016	613	191	240	594
pxylp1	3193	199	358	742	740	603	79	188	708
si:ch211-191a16.5	4305	126	317	183	162	147	33	47	207
wu:fb15h11	3654	138	572	167	190	50	40	53	139
si:ch211-191a16.2	3583	146	510	406	363	297	19	113	145
epha4l	5782	346	792	461	598	391	30	169	279
si:dkey-96g2.1	1963	55	124	215	242	146	22	19	143
LOC110437941	1080	37	173	21	249	169	41	12	71
LOC795173	1087	63	144	51	25	26	4	26	32
LOC110437921	968	23	147	80	10	10	0	0	62
LOC100536426	455	23	94	28	101	24	0	2	42
LOC101884267	1536	45	228	11	31	9	4	5	30
pax3b	1428	114	352	246	131	92	10	29	1
LOC110437922	2790	144	253	338	407	199	42	89	283
sgpp2	1746	116	240	193	367	181	31	69	90
farsb	2017	166	428	1565	2093	855	320	520	895
scaf4b	4323	347	1028	2262	1532	1098	265	522	756
tiam1b	7072	722	1230	3148	2713	1439	296	798	760
zgc:110333	1762	111	129	523	1170	690	161	156	366
cldn17	1295	74	128	49	37	36	8	6	33
cldn8	1868	99	147	236	236	133	23	49	59
LOC103908871	1671	60	144	20	11	11	9	0	17
grik1b	4184	304	741	781	420	322	48	192	250
si:ch211-181d7.1	3566	26	77	14	65	11	0	6	21
LOC110437747	5925	48	108	346	293	252	19	58	376
si:ch211-181d7.3	6452	68	142	173	201	201	34	78	239
slc8a2b	5524	560	1036	3568	2963	1379	287	891	1063
acsl3a	2929	239	583	765	946	522	145	237	740
LOC101882929	1987	9	36	10	7	0	7	0	1
kcne4	557	53	95	66	121	14	5	22	62
scg2a	1861	160	235	1761	1760	906	156	378	915
LOC110437924	1788	33	107	13	43	0	0	7	0
ap1s3a	1231	76	164	499	324	122	46	35	148
flj13639	1696	129	318	345	559	108	51	76	150
wdfy1	1743	224	426	2251	2218	1057	301	431	1301
serpine2	1547	187	382	1272	1226	413	132	177	724
prss16	1773	126	315	543	326	205	62	93	316
zgc:85932	2868	404	604	1033	577	501	144	192	413
actn4	5157	917	1081	14706	15953	7508	2030	3737	6247
rab38	1574	90	215	175	150	133	6	68	163
ctsc	3146	173	492	1258	1336	860	221	323	754
grm5b	3607	298	550	1537	1425	665	152	377	246
tyr	2034	251	259	2356	2211	962	281	597	757
nox4	2638	233	522	187	154	108	14	55	245
LOC100333163	1331	3	8	39	57	12	1	2	59
naalad2	2425	270	498	928	762	399	108	190	525
LOC101885254	339	5	11	0	0	0	0	0	0
LOC103908875	450	3	36	22	22	9	0	0	0
chordc1a	1207	112	373	440	328	224	58	61	217
nlrc3l	2757	181	332	885	1091	487	163	217	487
numa1	8197	385	1264	1459	938	335	62	260	538
lrrc51	1140	66	176	39	77	32	7	16	134
lamtor1	697	67	120	504	377	142	45	104	80
LOC101883668	2099	2	0	0	0	0	0	0	0
zgc:112998	1410	22	62	119	47	72	5	34	84
LOC100535121	1605	96	240	172	259	84	25	44	167
LOC100329885	1650	73	186	10	18	28	3	5	0
LOC108179355	1211	17	90	0	11	0	0	6	0
LOC108179356	1384	55	132	0	13	1	0	9	58
LOC100148620	1334	121	224	83	109	84	15	49	186
LOC101882375	3446	144	219	145	101	55	8	38	251
LOC101883594	2878	52	131	11	0	4	0	10	70
LOC103908877	1834	19	52	0	0	0	1	6	27
LOC101883959	1946	67	175	8	0	1	0	10	0
LOC110437936	1028	22	65	0	9	0	0	3	0
zgc:165514	1434	52	157	41	38	29	2	11	4
LOC797855	976	45	135	5	0	9	1	3	0
LOC100332443	2433	136	390	217	282	181	15	71	88
LOC110437928	1768	64	138	14	0	0	1	2	31
LOC101883356	3033	174	454	66	54	32	11	9	100
LOC110437926	3472	71	284	35	26	27	1	1	54
zgc:162962	2615	148	365	607	465	267	69	88	447
LOC100535385	3613	173	297	1248	906	516	85	198	501
cwf19l2	3179	263	509	865	691	466	60	149	289
gucy1a2	2041	195	359	860	576	327	60	270	355
aasdhppt	1197	106	257	309	92	163	55	38	356
msantd4	4649	249	403	967	789	337	75	255	392
gria4a	4529	495	902	3033	2285	1323	276	908	1147
zgc:165508	1583	142	295	309	222	194	38	77	294
alp3	1605	159	344	531	511	254	72	49	282
wu:fb16f03	3817	458	822	5819	4744	3096	401	1329	2029
LOC108179359	480	31	73	31	17	13	2	2	0
pdgfd	2368	230	281	341	361	294	42	128	376
dync2h1	12959	1343	2503	2512	2013	1206	233	664	1358
LOC103908881	727	35	51	0	14	0	5	0	0
il1rap	2234	252	467	629	478	228	61	140	227
fgf12b	6062	621	991	4617	3796	1985	335	898	2206
LOC556707	3293	232	327	2526	2013	786	152	327	1376
parl	3505	216	493	1461	1164	512	107	251	352
cldn15lb	1807	176	298	583	805	260	56	127	206
atg16l1	1158	213	447	881	620	458	128	201	292
sagb	866	107	173	1478	609	346	57	176	162
LOC101886389	2601	347	460	6548	2235	656	218	310	1108
lrfn1	2055	176	328	740	749	393	73	185	236
LOC103908882	1021	59	135	36	6	17	3	0	67
LOC101885947	639	22	122	21	23	9	4	0	47
LOC103908883	562	13	82	16	0	0	4	2	0
LOC794425	1615	121	392	425	623	600	91	103	614
LOC100002043	905	64	66	353	532	252	73	97	395
si:ch1073-340i21.3	1219	139	186	1079	1836	727	296	335	944
LOC100004528	1945	151	273	224	373	151	40	44	132
si:ch1073-340i21.1	795	55	142	744	589	625	44	112	285
wu:fb18f06	652	54	78	831	707	1460	97	210	398
igsf11	1329	195	325	1146	621	343	113	177	168
LOC100004411	1885	185	276	123	156	30	14	26	35
iws1	2986	479	692	3383	3236	2444	349	878	1777
zgc:162872	4062	391	665	1291	1071	570	141	331	532
ilkap	2004	177	354	613	301	286	41	51	299
trnag-ucc_27	72	0	0	0	0	0	0	0	0
clcn2c	2581	240	445	583	679	626	121	142	143
chd	3476	258	677	338	168	193	42	80	346
zgc:153039	3424	271	480	509	437	146	60	129	464
LOC108179364	409	5	17	0	11	8	0	0	0
arap1	503	81	111	334	298	172	44	26	19
LOC100332538	3344	308	542	701	672	440	110	169	658
cep57	1713	127	245	381	292	155	15	60	189
pde2a	5226	494	822	4327	2841	1929	435	794	2158
gap43	1052	159	172	3412	1327	1087	135	494	581
lsamp	1073	220	258	1116	481	273	62	160	288
anapc15	967	83	153	541	382	114	13	96	518
zgc:165502	902	83	211	689	399	243	33	105	394
LOC101883459	855	123	186	143	112	53	8	34	71
clpb	2112	238	401	2065	1233	910	114	336	896
phox2a	4123	247	534	1081	951	688	111	174	1307
inppl1a	3510	479	677	2477	1951	901	218	620	1136
LOC101884560	2417	197	224	1630	1244	530	158	238	532
sik3	3843	615	471	6010	4112	2349	463	1485	2237
sidt2	3428	437	511	2059	1753	963	230	498	551
LOC101883079	438	34	31	100	67	36	27	6	97
tmem25	1079	89	85	85	1	7	1	38	0
cep164	498	49	86	108	58	0	6	21	1
socs9	2251	150	197	283	215	59	43	75	201
LOC100537681	746	65	132	353	443	281	24	94	170
paf1	2078	309	451	1410	1174	965	219	305	818
gmfg	259	34	32	80	50	8	0	6	7
LOC110437937	854	121	206	492	479	245	29	139	104
LOC100332526	3107	316	622	777	569	453	111	286	514
LOC110437930	780	62	52	149	185	49	11	23	166
stard10	1540	208	236	2246	1750	919	181	313	1368
LOC110437931	1017	103	130	331	221	220	59	107	118
LOC110437932	1994	136	618	89	42	33	34	20	89
sfrp2l	1084	72	179	25	50	0	3	11	0
sln	393	30	37	59	33	35	2	15	0
kbtbd3	2167	163	273	164	93	58	8	43	65
eif3k	1151	206	235	5139	4798	2997	655	958	2468
si:ch1073-429i10.3	2235	1151	420	36973	25631	10234	1879	4212	21775
h3f3b.1	1089	112	150	3089	2502	1126	160	540	931
si:ch1073-429i10.1	2451	213	397	265	386	162	55	91	325
zmp:0000000529	2931	204	298	894	595	330	38	268	419
LOC110437938	496	56	53	89	39	24	10	15	239
otx5	1717	185	207	2484	1955	1021	214	486	942
psma6l	1320	109	228	257	280	232	43	63	173
LOC100534853	2337	335	381	4276	2277	2133	285	669	2121
samd4b	3769	346	474	2360	2133	923	219	482	814
LOC101883948	1141	68	149	102	68	34	9	17	37
cdkal1	1728	317	410	875	862	489	105	195	547
sox4b	3006	242	162	2293	1867	854	224	614	1885
si:ch211-201o1.1	4355	115	193	221	178	208	67	74	222
nrsn1	2674	172	295	1424	1632	830	207	409	538
LOC553446	1150	147	234	160	122	96	9	49	40
slc6a3	1794	288	331	289	233	70	26	80	135
LOC101884921	5881	513	642	2826	2176	933	247	511	1391
LOC101883647	1065	15	134	7	0	15	0	0	0
LOC110438011	250	10	57	0	0	0	4	9	0
irx4a	2166	166	319	348	422	108	24	66	125
irx2a	2229	162	362	1154	615	309	69	211	480
irx1a	1738	142	254	1188	636	359	105	171	143
LOC568792	4505	457	824	245	176	90	24	94	134
rprd2b	4134	429	745	2203	1573	681	148	425	1676
tars2	2400	292	586	1257	657	372	108	238	235
adamtsl4	4159	389	596	2346	1540	573	153	393	948
LOC103908888	689	50	82	0	33	19	3	3	0
celf3b	2340	247	376	999	803	361	90	231	515
LOC101882672	1842	12	22	66	86	24	9	11	37
cers2b	2101	231	318	1360	1287	658	130	287	843
sim1a	2655	253	422	253	343	73	23	101	318
ascc3	5929	705	1377	3101	2840	1387	335	810	1713
LOC110437959	421	0	0	0	0	0	0	0	0
LOC110437960	421	0	0	0	0	0	0	0	0
grik2	5038	476	844	5483	4834	1870	426	1105	1685
LOC110437961	1120	76	267	43	88	19	3	21	18
LOC110438012	581	14	84	1	0	0	0	0	0
hace1	3362	347	768	960	673	338	126	198	590
zgc:152945	1514	118	332	424	350	393	100	98	485
LOC100333749	882	58	117	12	9	0	2	0	2
LOC110437962	540	6	4	0	0	0	0	0	0
LOC108179554	2438	13	45	1	14	0	0	0	0
LOC110437963	740	7	11	0	0	0	0	0	0
LOC108179555	1977	12	41	3	0	0	0	0	0
LOC108179556	727	6	2	0	0	0	1	0	0
LOC110437964	4572	46	97	28	94	36	11	14	31
cnih4	5532	236	394	2879	2792	1130	183	429	1505
wdr26a	5021	475	803	4428	3235	1797	417	929	1677
adcy3a	5867	457	849	1497	1568	990	163	412	374
preb	1782	201	346	684	1109	661	145	325	515
lyplal1	1228	81	156	194	166	119	14	36	85
tgfb2	1242	134	257	848	1189	461	112	263	809
acot22	1824	91	218	10	21	13	0	4	65
si:dkey-288i20.2	1754	171	360	779	642	248	101	145	230
clec3ba	1347	63	152	62	108	92	6	23	0
cdcp1a	2592	164	338	207	238	88	39	56	270
tmem158	1535	58	166	125	67	36	6	25	0
lars2	2675	282	650	512	496	206	50	95	307
limd1a	3087	173	378	2216	1902	613	130	239	2210
LOC108179558	5046	105	237	135	134	15	12	30	206
LOC110437965	2788	12	26	21	0	0	0	1	2
LOC110437966	1194	28	96	30	0	0	0	4	0
cyb5r4	2862	243	635	391	400	294	56	109	176
csf3r	2760	204	563	301	172	136	39	62	167
LOC110437967	923	21	93	15	21	0	0	0	2
LOC101885066	366	9	53	3	1	14	4	0	44
LOC110437968	1018	35	174	226	106	21	20	36	157
LOC100334689	3681	397	731	2146	1500	885	215	550	656
zc3h12a	2190	150	318	136	247	261	19	62	37
LOC556653	2357	178	368	443	205	90	45	90	378
LOC101882255	5719	226	464	1089	904	461	117	203	692
inpp5b	3697	388	847	1767	1389	620	204	371	844
mtf1	4599	390	639	1415	1389	606	116	325	415
LOC100535213	325	17	45	2	15	0	0	0	31
yrdc	1701	120	285	180	494	283	55	100	317
rrp15	1007	123	255	587	375	550	90	120	370
LOC101886145	734	42	100	0	12	7	5	20	28
vegfaa	2962	184	525	626	943	449	94	184	559
ttc29	1870	18	34	0	2	0	0	0	27
ppp1r8b	2578	28	139	192	165	152	39	99	1
tfpt	1032	20	75	178	82	138	26	92	0
mrpl51	729	16	40	233	171	117	22	77	20
arnt	5607	164	341	3232	1644	850	276	676	1220
cyp4t8	2364	13	91	65	43	58	24	6	1
si:ch1073-284b18.2	2824	210	382	103	150	90	20	9	342
mecr	2834	134	277	436	455	198	64	107	186
smpdl3b	2213	179	343	1130	1275	330	129	207	742
themis2	2726	171	422	147	187	38	14	22	286
rpa2	1146	103	296	697	367	232	64	161	210
ube3d	1511	101	329	184	96	73	24	55	68
tpbgb	1692	107	216	589	586	297	63	87	714
ibtk	7074	545	1045	2026	2709	1665	364	906	1077
fam46aa	1993	129	182	884	476	250	73	141	180
bckdhb	1510	231	394	2309	2034	1111	181	389	1110
ttk	3288	345	732	793	507	228	76	169	596
dctn3	1114	91	216	1503	1294	761	116	256	681
elovl4a	1683	138	286	2084	1830	728	179	379	852
soga3	2826	239	479	1327	1221	887	123	560	526
soga3a	4271	400	709	2608	1970	811	211	623	1186
echdc1	1306	85	218	187	111	44	14	39	43
si:ch211-165e15.1	20917	2076	3396	31499	30959	17736	4123	7651	13451
macf1b	11508	809	1913	2021	1193	863	177	397	439
zgc:91890	2048	103	232	381	374	212	55	59	263
si:dkey-283b15.4	1458	216	402	1970	1387	556	214	424	634
si:dkey-283b15.2	3390	210	379	588	353	178	37	174	325
zgc:158689	3970	297	561	998	1074	660	71	358	482
ndufa3	1151	99	196	1638	1528	964	158	299	1132
ccka	780	70	157	251	176	66	2	40	24
trak1	6651	641	1419	2110	2230	1026	270	562	915
ulk4	4795	399	1162	588	269	220	44	108	168
ctnnb1	3409	687	606	13956	11339	4666	1321	3359	4069
cmtm8b	2377	0	0	0	0	0	0	0	0
scgn	1635	0	0	15	0	0	0	0	0
ndufb9	637	0	0	17	8	3	5	4	19
mboat1	2304	85	179	107	313	90	19	59	215
LOC103908895	353	0	0	0	0	0	0	0	0
sall3a	5739	0	0	0	0	0	0	0	0
znf407	4640	303	569	619	630	234	69	185	354
znf236	480	76	103	169	44	93	37	12	129
mbpb	2830	258	470	3497	2974	1665	296	679	1211
arhgef2	3083	138	346	1459	1685	640	112	342	465
pmvk	1919	65	254	230	434	162	33	41	240
eaf1	1407	23	130	174	145	82	15	14	46
bbs9	4450	305	832	1255	823	510	131	337	449
bmper	3070	279	515	1417	1417	490	125	277	624
si:ch73-341k19.1	3420	236	640	775	594	220	43	118	278
nt5c3a	1617	146	256	1145	833	482	120	138	374
LOC101882543	433	29	87	82	45	58	5	13	10
sri	1577	104	266	2121	2522	816	222	422	1508
LOC101883308	3312	124	329	81	47	15	2	12	27
si:dkey-11f5.5	4337	232	411	595	345	139	22	135	194
med18	1040	95	129	171	93	36	3	15	21
atg5	2315	194	448	979	950	518	91	182	556
prdm1a	3678	290	635	846	871	408	81	248	524
stx12l	3594	237	497	1918	1624	794	115	308	1163
popdc3	2870	108	311	377	395	182	37	87	200
bves	1827	117	315	638	479	250	44	161	295
LOC103908896	1687	65	128	14	10	15	2	2	0
pimr209	3214	125	433	48	75	0	9	23	110
ccr11.1	1494	71	194	83	99	28	8	19	22
cnot10	2902	290	757	685	629	412	111	166	472
trim71	7686	486	849	3897	3714	1899	516	1038	1650
tcaim	4449	261	428	696	638	225	106	151	281
abhd5a	1606	114	304	533	525	247	91	95	440
ano10a	2641	231	561	1086	958	468	154	259	478
snrka	5171	325	593	4210	3433	1614	378	954	1230
pomgnt2	2617	115	246	884	715	120	81	106	165
fam198a	3087	194	404	1047	720	320	72	225	875
entpd3	2154	144	426	929	758	426	134	258	937
ddc	4117	350	679	1717	1615	669	155	306	1109
grb10b	6065	433	1115	2837	2835	1692	432	787	1415
cobl	5699	500	910	4878	3923	2051	590	828	1950
si:ch211-207g17.2	1471	44	184	22	0	0	2	9	29
si:ch211-207g17.3	1373	32	124	19	0	0	0	9	70
si:cabz01093077.1	1692	90	203	60	49	34	2	12	45
cabz01093075.1	2567	160	411	11	99	15	17	13	106
triob	10795	941	2166	7033	5634	2447	609	1805	2242
dnah5	14443	1039	2870	1184	1108	635	110	297	1030
adcy2a	3663	229	795	468	510	167	36	100	282
ice1	4800	34	159	140	163	116	25	49	61
ccr8.1	1374	8	61	0	0	0	0	0	0
prpf3	3803	60	215	380	262	88	22	51	53
LOC101884995	3388	49	195	23	55	0	10	7	40
LOC103908899	995	19	47	21	0	10	0	0	0
LOC101884965	875	8	37	0	0	7	0	0	59
ca14	1324	103	297	160	85	106	5	43	24
LOC103908672	1488	0	0	0	0	0	0	0	0
trnaw-cca_31	72	139	232	20	9	0	7	22	0
trnaw-cca_32	72	9	42	10	26	0	0	0	50
trnaw-cca_33	73	5	44	11	0	0	0	0	0
taf2	4434	361	929	2271	2027	1002	225	507	926
enpp2	3179	266	825	406	291	107	67	72	267
mal2	1001	49	225	224	213	80	58	70	158
colec10	1376	62	197	99	95	35	4	2	98
LOC100149966	2550	126	604	122	333	67	26	18	419
ecm1b	3117	176	489	497	440	224	62	90	295
pip5k1ab	5340	413	918	2442	1568	920	197	447	918
psmd4b	1503	111	388	945	832	701	101	222	767
zgc:92912	1032	108	275	400	420	176	53	118	231
tapbpl	1719	117	318	161	184	35	8	25	131
grhl2a	2551	188	563	590	201	237	50	156	244
ncalda	2919	200	570	2641	1937	1011	173	543	857
id4	1588	156	258	1148	1223	492	126	270	512
LOC110437969	5893	52	151	25	18	10	12	5	58
LOC103908901	1656	99	170	54	10	15	7	0	19
cep76	2497	164	422	254	252	80	22	69	136
ptpn2a	1871	107	301	412	282	252	26	49	289
LOC110438013	1967	94	257	64	79	14	17	3	208
si:rp71-15i12.1	8380	577	1671	1450	1382	431	98	321	808
mrs2	2067	172	442	370	326	126	41	53	207
flot1b	2831	313	617	4217	4031	2278	521	986	2376
tubb5	2339	471	294	9948	11017	4878	822	3696	4349
mdc1	6174	462	1132	2374	1804	1468	245	413	1224
si:dkeyp-77h1.4	3472	371	673	2496	1947	686	174	440	829
LOC108179567	1950	106	164	804	578	167	9	132	273
LOC100534757	2461	0	3	0	0	0	0	0	0
si:ch73-54f23.4	1825	141	255	164	103	67	17	20	50
ino80e	1149	120	227	650	641	682	114	178	428
LOC107988037	1855	167	331	688	894	297	108	171	391
vars	4042	398	854	1659	2499	1892	449	817	1154
abhd16a	2261	228	494	1635	1247	941	124	324	744
g6fl	1624	178	315	51	56	0	0	4	104
si:ch73-22o12.1	7337	468	887	4687	5313	2359	645	989	3906
zgc:165409	1306	121	322	294	315	135	12	63	135
LOC103908902	398	11	8	11	18	0	0	0	0
LOC103908903	461	10	15	0	16	11	0	15	0
atp1a3b	4787	676	912	13893	10011	4952	1174	2618	3870
rabac1	2377	140	315	1240	2097	837	153	384	875
dedd1	7076	373	747	8677	6839	4257	792	1422	2626
pou2f2a	10646	778	1700	3921	2638	1482	372	867	1794
erfl3	3541	397	541	2827	2238	1642	316	582	1374
cicb	12155	1061	2132	8643	6694	3708	845	2008	3925
znf526	4967	346	644	820	591	364	148	131	510
gsk3ab	3039	314	702	3154	2343	1087	240	684	1545
znf574	3490	219	448	605	500	301	71	224	266
grik5	5373	255	437	868	712	342	88	259	476
LOC103908906	1237	7	63	24	123	15	0	7	0
LOC110437971	156	1	6	1	5	14	2	1	36
LOC110437970	1507	8	71	33	54	18	0	0	27
zgc:198329	2010	2	1	1	0	0	0	0	0
LOC110437972	1720	4	0	0	0	0	0	0	0
LOC108179508	2704	33	124	72	36	0	0	14	2
LOC100329806	1734	2	0	0	0	0	0	0	0
LOC103908908	300	0	0	0	0	0	0	0	0
LOC110437973	229	1	0	0	0	0	0	0	0
si:dkey-250k15.10	1197	0	6	1	0	0	0	0	0
si:dkey-250k15.7	1483	2	24	32	26	0	1	3	7
ceacam1	3821	107	280	1564	1610	870	210	217	469
zgc:158701	495	5	19	28	21	5	1	7	1
pafah1b3	2393	52	120	766	605	189	63	126	271
si:dkey-250k15.4	1615	24	54	0	2	0	2	3	0
LOC110437974	1707	51	117	73	8	0	3	3	29
tlr21	3211	21	40	56	0	9	0	3	46
cnfn	913	15	72	76	23	49	0	10	57
cxcr3.2	1883	25	80	21	5	13	0	0	27
cxcr3.3	1877	43	106	100	104	78	13	60	0
cxcr3.1	2615	9	51	0	0	0	4	3	0
cd4-1	2060	1	21	0	0	0	2	0	0
LOC100334281	3401	65	230	23	4	35	0	12	9
usp5	3369	131	300	960	963	654	58	207	436
p3h3	2460	32	81	0	58	24	10	18	2
gnb3a	2038	17	53	126	61	23	12	10	0
si:ch211-69g19.2	1757	2	0	65	25	6	0	1	0
pex5	2991	1	0	15	0	0	8	8	0
clstn3	3785	0	0	8	0	0	0	0	0
lpcat3	3043	14	49	28	2	7	3	5	14
tpi1b	1529	175	85	8013	8355	2992	869	1481	3337
leng8	6440	151	325	2455	2595	854	242	543	676
zgc:92606	935	41	126	456	514	418	67	201	58
si:dkey-26c10.5	1469	56	164	29	79	15	1	18	0
trpv6	2578	56	116	87	145	63	31	23	3
ephb6	3619	97	151	321	248	28	30	52	152
slc2a3b	3227	219	492	187	279	148	22	47	167
cox6b2	871	204	126	14244	11589	6398	1480	1926	5060
rasip1	3678	390	744	672	438	211	44	125	533
il11a	3541	233	499	194	166	225	45	62	425
znf628	5586	505	748	1466	1014	511	213	331	642
nat14	1266	110	254	562	424	250	39	111	197
aicda	869	69	199	39	34	51	11	2	87
mfap5	870	83	239	36	216	27	1	36	163
sbk3	1492	129	254	196	114	42	11	48	238
epn1	3857	347	542	5216	4361	1896	384	1236	2450
foxj2	2375	266	592	704	857	370	83	182	606
isoc2	912	78	157	946	663	423	107	145	319
u2af2a	2678	290	521	3583	3052	1339	324	648	1474
cacng6b	1526	218	398	1557	1394	518	117	284	765
cacng8b	3519	326	574	2324	1480	685	191	337	744
cacng7b	1932	205	421	395	237	165	22	41	336
prkcg	10207	631	1394	1127	613	358	71	212	754
LOC100149482	9465	796	1620	3304	2347	1617	309	756	1847
zgc:101640	2134	160	371	528	349	260	43	110	183
si:dkeyp-69b9.3	3550	1	0	0	0	0	0	0	0
LOC101883024	5399	12	90	38	28	30	0	7	19
ntd5	1928	73	146	618	709	387	100	113	448
dbpb	4435	82	115	2087	1538	992	211	610	502
si:dkeyp-69b9.6	7727	125	290	1056	660	234	110	190	261
LOC101883130	4494	57	165	308	285	108	23	51	43
ube2s	2818	10	94	24	22	9	1	21	51
josd2	1597	33	63	369	293	227	59	89	79
ttyh1	2945	105	182	364	364	125	61	183	146
leng9	2128	0	0	0	14	60	0	4	0
flcn	2667	0	0	8	0	0	9	5	0
zgc:174888	1700	0	1	0	0	0	0	0	42
grwd1	1586	1	0	0	1	0	0	0	0
cdc42ep5	3936	1	0	0	1	0	0	0	0
atg12	363	0	0	0	0	0	0	0	0
si:ch211-149k23.9	2889	1	0	0	0	0	0	0	0
rcvrn2	1885	0	0	0	0	2	2	0	0
LOC108179520	866	50	134	25	24	18	11	11	48
si:dkey-85k15.4	1355	78	254	15	49	16	8	12	118
zgc:162509	2620	79	248	73	458	76	23	57	64
si:dkey-85k15.6	1411	88	286	44	69	2	4	2	85
LOC100149015	2851	91	246	41	38	49	19	14	0
fdps	1845	149	325	1470	1101	501	129	207	537
rusc1	7816	657	1269	7887	5294	2289	677	1531	2875
trim109	1765	116	228	387	368	286	26	65	174
LOC101884350	2093	72	229	33	0	12	0	4	0
LOC100537860	7244	700	1176	7069	6616	3846	824	1277	3642
dap3	1454	184	369	1418	1105	622	181	277	731
gba	4182	252	568	854	587	315	80	133	307
rnf115	1710	166	412	829	600	424	73	211	530
polr3c	2025	170	404	522	590	87	62	93	434
itga10	4745	350	846	942	495	347	91	196	550
crabp2a	2509	147	321	1913	1491	848	175	356	1029
LOC110437975	943	49	164	103	142	22	12	18	35
LOC108179579	1062	0	7	10	28	0	0	1	0
dscc1	1330	110	330	201	83	92	22	57	279
deptor	4264	308	610	2962	2373	1573	331	591	1548
col14a1a	8537	703	1824	2003	1560	847	172	449	1030
LOC110437976	8050	33	90	27	45	8	0	4	5
LOC101886692	187	2	0	0	0	1	0	1	27
mrpl13	693	53	173	600	542	283	57	138	189
mtbp	2904	275	905	355	274	78	32	71	101
sntb1	2014	229	417	938	933	486	115	199	425
has2	2829	165	378	93	144	100	23	35	124
LOC101885645	1718	76	180	59	16	19	1	4	140
mir461	79	7	17	0	0	0	0	0	0
sb:cb92	645	42	182	16	15	0	3	0	0
LOC110437978	1335	58	156	95	60	67	16	15	26
ube2o_1	5705	330	804	2199	1690	776	193	380	848
LOC108182237	3772	98	230	14	40	17	4	24	52
ankib1b	5621	422	1028	2734	2761	1411	304	619	910
fabp11b	629	28	69	97	18	26	2	28	0
stmn2a	2138	271	355	7476	4744	1692	381	954	5692
upp1	2055	139	315	705	930	511	89	124	501
gra	1922	40	276	22	123	2	3	5	114
rbm12b	2718	169	403	1383	1034	520	123	299	460
LOC110438014	214	0	2	54	59	29	1	6	76
setd2	9904	736	1535	8047	6094	2774	724	1702	2755
nradd	2959	166	410	360	381	107	43	90	74
nbeal2	12000	226	666	655	477	237	43	188	313
ccdc12	730	0	0	0	0	0	0	0	0
si:ch211-257p13.3	5528	0	1	0	0	0	0	1	0
si:ch1073-443n13.2	1295	6	0	0	0	0	0	0	0
cyp21a2	2100	0	0	0	0	0	0	0	0
tnxba	8215	450	1441	2305	1545	773	235	299	1481
si:dkey-8k3.2	5434	380	1346	1267	448	563	67	107	813
si:dkey-27n14.1	3100	159	354	181	371	133	24	39	278
kcnj14	5068	226	656	375	258	171	30	96	378
myh14	8447	878	1944	6134	5758	3246	496	1517	2363
LOC110437979	1912	68	250	26	81	51	0	6	0
si:ch211-120k19.1	3303	162	372	331	113	69	9	47	231
rpl18	638	754	278	38471	37789	21848	4677	4964	18306
plekhg6	3745	180	552	482	444	299	50	137	316
tnfrsf1a	2509	141	447	702	883	672	144	154	648
cd27	1184	68	145	7	19	0	0	2	0
si:dkey-260g12.1	1944	126	375	128	93	84	22	15	125
iffo1b	6368	408	826	2627	2031	1114	263	620	871
opn9	2168	175	436	490	353	166	56	68	270
gapdh	1300	676	469	22171	21104	14333	3502	4955	7366
nppcl	1237	97	192	312	231	85	22	46	194
nop2	2762	222	699	1424	1734	1159	117	366	1008
gtf3c6	903	50	133	226	160	182	14	61	192
emg1	1032	58	111	191	211	227	23	61	70
kel	4167	268	725	225	136	142	14	56	126
zyx	4378	367	668	3123	3280	1726	328	757	1616
fam131bb	5158	308	728	1892	1142	742	103	360	677
clcn1b	3120	246	779	456	376	181	82	81	273
casp2	2825	249	761	1034	1156	442	83	216	741
m6pr	1964	113	284	590	440	351	78	113	289
arhgef5	6011	541	1404	2968	2775	1941	310	629	1908
ccdc106a	2167	126	266	1235	1209	529	113	233	555
LOC100536983	2377	113	328	77	13	30	0	5	167
tmem238b	861	42	95	26	21	42	21	16	96
si:dkey-17m8.1	4371	279	1000	1377	1202	876	122	266	650
mir190b	90	5	6	22	33	16	0	0	0
zgc:174935	1672	67	263	283	311	348	67	65	103
si:dkey-87o1.2	979	77	275	379	434	569	51	101	117
them4	1732	89	234	618	316	153	32	63	414
rorc	2223	106	450	144	60	26	3	22	0
LOC110437980	558	0	8	0	0	0	0	0	0
LOC108179593	1149	51	106	8	0	0	0	1	27
si:dkey-17m8.2	3242	62	231	35	194	23	26	53	1
si:dkeyp-13d11.1	2203	36	210	28	32	40	2	19	40
LOC101883025	1828	0	0	0	0	0	2	0	0
rxrbb	1710	18	82	164	145	135	8	59	64
fhod3b	6217	478	1169	2119	1460	978	233	380	1048
LOC108179595	242	0	3	0	0	5	0	0	0
LOC101883088	139	3	15	15	0	0	0	0	0
slc6a19b	2528	187	487	1473	1305	531	160	174	318
si:ch211-254p10.2	4972	251	675	225	160	69	3	52	106
pimr108	2116	119	321	47	36	21	4	1	20
