Geneid	length	WT_Pmm2_6_5	WT_Pmm2_6_3	WT_Pmm2_6_1	WT_Pmm2_6_4	Mutant_Pmm2_6_3	Mutant_Pmm2_6_2	Mutant_Pmm2_6_5	Mutant_Pmm2_6_1
LOC101884715	3536	555	398	123	610	107	164	78	161
brpf1	2240	467	445	209	542	216	101	58	250
LOC110440027	2709	212	185	96	261	71	67	46	167
wu:fl23c11	2528	72	111	34	144	73	62	32	50
creld1	3108	580	453	163	503	212	178	94	277
mbd4	2131	706	741	195	595	469	372	254	563
trh	1770	83	103	34	92	54	38	6	32
tmcc1a	3343	92	86	45	168	123	64	30	63
plxnd1	2443	279	349	157	489	95	66	54	114
exorh	1249	89	90	13	115	37	25	23	6
LOC110437880	584	42	76	38	80	30	20	6	29
LOC101882195	3738	189	125	28	265	110	59	17	64
map4k4	4751	3375	2749	1178	3829	1035	1168	386	1398
zgc:158316	2071	399	470	215	670	135	139	64	153
il10rb	1870	1470	1438	406	1790	613	484	351	938
si:ch1073-55a19.2	9302	804	944	530	1428	493	342	168	583
lims2	1327	623	427	149	519	153	124	66	280
LOC101886383	5595	1095	1029	371	1396	362	434	184	732
LOC799259	3593	18	9	34	55	40	7	2	9
LOC103911589	1518	46	41	28	47	15	25	4	20
rrp1	2492	1121	953	264	1337	490	427	268	809
cldn10b	1722	14	26	14	30	46	20	27	19
LOC553386	1015	18	22	17	16	11	3	5	8
LOC110437809	1364	22	33	14	21	38	1	2	8
zgc:158619	2599	552	551	345	867	346	167	97	372
LOC100536316	3022	24	16	20	15	17	15	3	1
aaas	1620	231	230	103	294	74	94	43	115
map3k12	4145	962	1001	238	1134	320	325	123	477
pcbp2	2166	2421	2349	952	3330	1195	1010	510	1773
kif5aa	4604	3845	3727	1659	5410	1575	1175	553	2316
si:ch211-166e11.5	2015	109	121	86	207	72	46	29	45
stac3	1684	730	732	293	1069	360	336	181	684
ndufa4l2a	1243	34	40	26	42	30	8	6	45
actr5	1932	93	87	69	149	82	50	10	84
bpifcl	1928	45	48	17	27	37	13	15	34
zgc:158320	1219	73	52	16	67	57	15	5	32
si:dkey-11f4.7	8556	71	64	55	110	194	20	26	43
bzw1b	1683	344	1058	237	1466	202	338	90	344
si:dkey-11f4.14	2974	39	130	32	130	67	52	24	79
zgc:91849	4633	138	152	66	223	138	83	38	132
si:dkey-11f4.16	3616	274	255	87	324	241	114	75	203
si:dkey-11f4.20	2850	47	5	17	26	56	11	15	54
ptgfrn	4867	427	504	175	579	265	277	124	380
LOC100005927	6229	53	113	43	86	115	16	27	76
LOC100537317	2877	76	77	30	101	61	35	26	48
si:dkeyp-118h9.7	13813	109	179	60	159	183	113	40	87
dip2a	7783	925	1016	437	1429	465	299	125	556
LOC100332177	2485	29	55	7	43	69	28	19	30
ndufb3	680	783	663	308	608	209	333	131	499
ybey	788	6	22	3	29	3	6	8	20
usp37	3414	389	356	210	490	184	174	85	281
insig2	1019	150	143	111	226	63	73	20	85
LOC101883921	393	0	0	0	0	1	0	0	0
en1a	1784	86	70	25	55	42	30	12	56
marco	2250	42	84	55	145	89	21	39	86
c1ql2	1239	79	14	15	38	15	23	3	10
steap3	2360	23	39	11	13	36	3	7	20
zgc:101851	823	36	42	18	46	51	67	24	20
dbi	1912	608	517	338	669	411	605	88	478
tmem37	3295	94	128	81	110	72	29	17	87
sctr	1486	24	52	32	77	50	16	7	46
LOC100332969	5516	406	373	92	321	327	545	115	256
LOC101883674	3200	304	330	154	439	132	90	40	124
zmp:0000001200	6981	969	1007	415	1422	579	408	206	645
slc15a1a	2693	600	923	523	1189	508	292	130	584
stk24a	1490	176	193	107	200	124	69	60	137
LOC110440037	12445	1639	1929	654	2250	1092	726	419	1304
gpr1	3020	99	137	83	142	85	45	18	103
LOC101884782	3491	130	157	101	249	90	60	17	137
casp8l2	2957	20	51	23	56	16	33	18	35
prkra	1670	194	226	172	258	128	170	36	136
osbpl6	4231	652	615	188	834	330	235	93	438
rbm45	2057	304	267	109	340	188	73	69	178
si:ch211-222f23.6	2240	4	27	21	17	27	13	8	24
pde11a	8593	273	382	107	355	277	137	80	269
agps	2096	293	311	137	443	131	207	57	264
mir148	79	0	4	0	6	11	0	0	3
nfe2l2a	4757	2234	2723	1074	3288	1228	1128	502	1972
hnrnpa3	2068	267	262	128	332	166	86	84	188
LOC108191292	2091	49	99	13	63	127	37	26	53
hoxd3a	2678	567	458	142	479	187	209	80	315
hoxd4a	1247	261	159	61	260	87	84	44	173
mir10b-1	78	0	2	0	0	27	8	0	0
hoxd9a	1337	187	205	61	159	178	121	60	96
hoxd10a	1627	101	94	82	140	74	39	10	59
hoxd11a	1410	164	158	63	155	90	62	28	111
hoxd12a	1426	69	78	47	63	46	15	19	40
hoxd13a	1121	8	38	5	3	34	6	10	31
evx2	3314	281	301	78	368	193	116	60	133
lnpa	2000	185	213	95	313	116	104	40	83
atp5g3a	977	2029	1696	625	2311	654	1243	280	1194
atf2	5068	901	733	234	790	469	299	134	575
LOC110440038	239	19	13	10	38	3	4	0	12
chn1	2631	615	701	369	923	365	296	115	528
wipf1a	1895	63	69	40	74	52	20	13	50
gpr155a	4453	825	718	218	843	515	456	293	706
scrn3	1782	211	236	110	298	163	108	39	135
si:ch73-167c12.2	1487	531	411	154	495	240	255	98	304
sp9	2546	354	315	97	410	178	107	61	181
LOC103911600	1164	28	27	19	36	18	23	8	26
sp3a	6455	1080	1327	503	1426	677	599	259	847
cdca7a	1703	145	150	107	237	72	92	19	106
zak	3478	227	216	106	301	218	91	50	164
rapgef4	4948	350	431	134	448	273	127	61	213
si:ch211-173m16.2	486	0	12	7	3	25	3	0	5
si:ch1073-219n12.1	4961	887	1151	391	1276	550	520	218	631
pdk1	5468	395	505	221	622	254	200	132	396
ftr52p	2037	6	12	11	28	6	1	8	6
dync1i2a	3740	760	1060	526	1370	700	496	286	751
hat1	1573	397	418	267	602	185	178	82	334
dlx1a	2615	223	204	80	251	97	106	28	113
dlx2a	1704	259	116	55	130	107	59	31	137
itga6a	4205	287	250	143	358	191	110	76	188
cybrd1	902	130	120	60	151	126	50	23	95
dcaf17	2529	103	78	32	90	60	56	35	75
mettl8	1586	81	79	36	51	40	32	14	51
tlk1a	3516	1139	1166	421	1244	549	585	250	876
gad1a	2866	225	218	121	331	124	87	33	209
sp5a	3115	248	292	98	325	196	32	51	215
myo3b	4886	349	387	211	560	263	127	64	339
LOC103911603	1400	0	11	2	15	13	6	3	14
ubr3	6348	1619	1542	755	2166	698	545	220	933
mylka	6121	764	860	356	1028	466	274	119	550
kalrna	10379	1882	2074	893	2867	965	620	327	1277
trnaq-uug_75	72	0	0	0	0	0	0	0	0
trnap-cgg_67	72	0	0	1	5	10	0	4	0
trnaq-uug_76	72	0	0	0	0	0	0	0	0
trnap-ugg_117	72	0	0	0	0	0	0	0	0
trnap-cgg_68	72	0	0	0	0	0	0	0	0
kcnj3a	3208	123	125	93	179	125	52	37	142
galnt13	2600	181	253	121	279	57	87	37	143
rprma	1032	35	28	16	38	20	10	7	18
prpf40a	3268	1301	1135	409	1346	698	636	204	728
fmnl2a	5004	1148	1354	725	1799	755	575	325	1159
nr4a2a	2307	391	406	93	500	177	117	67	226
galnt5	3274	75	132	54	127	103	74	33	61
cytip	1677	3	12	5	32	18	12	7	8
acvr1c	2235	161	212	81	244	131	67	30	81
tnfsf13b	4187	67	184	84	144	173	58	37	115
abhd13	1325	124	173	44	147	73	77	28	86
fam155a_1	3889	369	430	113	571	283	120	69	289
LOC100331465	2888	226	211	103	362	98	72	54	224
pdzk1	2313	2840	2569	1817	3523	1608	863	555	2395
si:ch73-390b10.2	2078	120	149	90	161	97	90	41	123
st6gal2a	2314	1108	1212	483	1427	484	520	174	693
tmtops2b	1107	110	43	37	39	17	16	13	30
uxs1	2472	353	471	137	551	271	199	85	363
ecrg4a	926	154	101	56	136	39	87	17	94
nck2a	4642	477	529	253	569	337	196	108	367
fhl2a	2135	185	248	119	333	207	164	55	132
si:dkeyp-118h3.6	1434	132	126	39	122	109	30	15	115
si:dkeyp-118h3.5	2474	70	58	34	63	34	9	17	21
pou3f3a	2925	613	592	214	604	298	243	93	331
LOC110440039	1182	3	1	3	5	1	1	0	0
tmem182a	1729	560	595	382	818	377	268	130	447
mfsd9	2586	38	59	17	59	31	39	13	18
slc9a2	3545	158	151	71	99	79	84	32	81
inpp4aa	4528	917	944	439	1138	441	340	195	525
si:dkey-4e7.3	1584	294	351	180	425	147	170	24	198
coa5	540	122	75	43	86	94	53	19	101
mgat4a	6546	635	796	406	1105	527	277	183	532
LOC110440040	1825	0	3	8	5	0	2	0	0
creg2	2321	403	464	207	600	269	198	100	375
si:ch211-121j5.4	4399	566	448	187	493	215	178	84	356
mitd1	1464	74	48	16	43	51	22	11	40
ihha	1600	190	199	133	227	99	69	48	153
slc23a3	2077	79	64	36	87	69	15	30	42
LOC563561	2901	734	738	304	987	309	240	128	568
tmem198a	2770	872	899	325	1245	525	362	171	588
desma	1848	3781	4259	2100	5203	1641	1312	884	2943
ptprna	3654	1365	1078	409	1583	464	462	181	709
mir153c	151	7	11	3	15	0	11	0	8
dnajb2	2346	279	244	137	364	190	122	70	177
tuba8l3	1552	364	320	201	359	147	160	57	301
si:ch73-199e17.1	3183	203	274	147	225	188	107	27	99
mnx2a	999	34	26	5	49	35	11	11	16
si:ch1073-349o24.2	5555	83	115	27	134	125	38	16	76
myo16	9686	1664	1538	702	1891	557	512	232	825
LOC108191363	165	0	3	0	4	1	1	0	1
si:ch211-145c1.1	1079	7	5	15	4	22	2	5	7
si:dkey-90l23.1	1880	15	30	14	2	27	3	5	0
si:ch1073-75o15.4	942	0	6	1	0	11	0	4	0
LOC564755	844	0	28	9	3	16	1	1	12
zgc:171776	874	0	3	1	8	6	1	1	3
si:ch1073-75o15.3	1004	5	20	0	0	38	2	8	0
zgc:153499	1101	0	3	2	5	26	2	0	3
irs2b	9201	3239	5271	1217	6418	1679	1349	1115	2543
col4a1	5238	2436	2390	1341	2856	863	942	241	1140
col4a2	8043	2402	2366	1157	2569	903	982	263	1357
rab20	1333	295	143	110	234	124	98	33	161
carkd	3601	644	630	284	782	350	205	176	379
ankrd10b	2762	380	308	216	503	171	144	71	164
ube2al	1537	295	366	190	595	241	166	99	216
ing1	2155	218	188	80	248	99	80	33	116
sik1	5266	1891	3722	641	5491	1151	931	398	1376
cbsb	2836	575	909	483	1217	556	310	187	689
u2af1	915	187	231	153	379	179	75	48	184
si:ch211-214p13.3	1394	62	31	16	49	58	17	10	22
LOC101884846	534	0	0	8	0	12	2	0	0
si:ch211-214p13.8	1553	2	20	13	12	28	5	0	6
zgc:113337	1751	59	95	54	110	52	47	23	62
si:ch211-214p13.7	1129	0	14	0	6	6	5	2	0
si:ch211-214p13.9	1812	3	13	15	16	44	13	1	3
maats1	2847	58	61	54	84	80	25	19	31
nr1i2	2791	392	405	104	662	358	143	66	342
gsk3b	4513	1641	1758	656	2303	754	684	229	1161
gpr156	6352	79	105	40	104	115	61	19	35
lrrc58b	3852	591	676	278	981	228	386	129	347
fstl1b	3855	1492	1709	976	2106	998	913	205	1134
ttf2	3692	45	98	43	105	110	53	21	75
prmt2	1660	103	114	75	147	83	32	18	91
ugt1a6	1882	35	27	8	47	26	33	3	73
ugt1a5	1872	73	52	35	73	30	9	3	48
ugt1a4	1899	26	46	47	55	33	18	7	27
ugt1ab	1918	26	66	33	57	71	45	4	85
ugt1a2	1894	40	38	21	54	46	26	3	37
ugt1a1	1965	68	135	92	203	82	47	5	165
ugt1a7	1753	185	209	148	256	226	59	26	234
nxph2a	2771	180	151	69	218	99	79	24	151
spopla	2508	189	214	120	289	171	128	56	206
hnmt	1075	74	88	39	74	49	30	15	32
thsd7ba	5772	669	685	319	914	362	215	97	521
cxcr4b	1624	72	71	35	95	47	17	10	57
dars	2232	2592	2844	1586	3866	1794	1433	862	2605
LOC566927	896	43	20	8	27	33	20	0	10
gmppaa	2017	236	240	114	187	106	115	53	190
si:ch1073-416j23.1	2279	12	35	6	34	61	8	15	4
si:dkey-22p6.2	477	0	0	2	3	2	0	2	0
asic4a	2257	154	209	88	255	92	61	9	135
chpfa	2559	175	264	124	401	164	155	50	225
wnt6b	1742	11	34	31	55	38	14	8	10
wnt10a	1608	23	60	61	91	38	58	8	31
cdk5r2b	2598	304	689	206	855	216	108	61	193
fev	1764	19	91	25	79	86	38	19	49
mir1788	101	0	0	0	0	0	0	0	0
cryba2b	853	5767	4583	3551	6136	3988	3559	1962	6406
mir375-2	83	0	0	0	4	1	1	1	0
umps	1696	94	49	56	94	63	51	13	64
si:dkey-69o16.5	1125	596	627	271	678	329	257	107	533
itgav	4293	1634	2281	1191	2833	1488	1096	449	1570
zc3h15	2219	614	557	208	624	332	333	115	476
znf804a	3399	700	754	217	958	275	178	133	445
nup35	2147	58	96	57	136	69	37	19	74
zgc:162707	1354	272	205	82	214	102	85	28	137
ehhadh	2274	82	136	104	194	79	56	25	59
tmem41aa	1554	254	264	84	338	231	143	88	230
igf2bp2a	5057	1710	2061	799	2244	1125	773	446	1291
LOC110440041	955	33	35	12	17	36	17	5	18
tra2b	1927	750	608	346	738	427	326	117	507
tspearb	3875	12	29	4	46	46	9	25	44
sumo3b	1296	258	257	124	296	113	167	36	198
pttg1ipb	1118	154	165	43	163	178	106	38	133
myo10l3	9629	909	1326	571	1672	596	396	160	801
glb1l	2745	237	252	122	253	217	119	83	133
ankzf1	3400	284	344	176	417	307	221	80	323
si:ch211-167j6.3	1049	10	0	0	5	4	0	2	2
LOC100003133	1439	8	8	3	0	10	12	0	0
trnak-uuu_305	73	0	0	0	0	0	0	0	0
si:ch211-167j6.5	958	0	0	3	17	18	0	3	2
LOC110440042	790	0	10	4	3	12	5	2	5
si:dkey-230p4.1	9039	901	792	317	1050	508	397	159	571
LOC103911617	290	0	5	0	0	4	0	0	0
bmpr2b	4030	1281	1282	671	1701	681	544	230	849
LOC103911618	627	5	2	4	0	0	0	0	0
fam117bb	1743	325	193	112	409	162	108	34	207
carf	3055	303	224	86	336	124	108	38	123
kiaa2012	4845	0	0	0	0	0	0	0	0
fzd7a	2730	0	0	4	0	0	0	0	0
trnaq-uug_77	72	0	0	0	0	0	0	0	0
trnaq-uug_78	72	0	0	0	0	0	0	0	0
als2a	6342	0	1	0	0	0	1	0	0
mpp4a	3812	0	0	0	0	0	0	0	0
tmem237a	1473	8	6	2	7	5	0	0	0
abi2a	2708	303	266	125	335	108	104	78	171
LOC101885154	1173	3	34	9	32	19	4	3	10
raph1a	6373	2032	1522	549	2088	655	559	278	1008
cd28	972	14	7	0	18	16	1	2	16
si:ch211-67e16.2	1075	60	34	22	49	16	12	11	42
si:ch211-67e16.3	1437	13	12	0	12	10	1	16	2
si:ch211-67e16.4	6572	688	776	333	741	485	334	166	473
fer1l6	6826	120	214	68	162	153	113	30	153
prkag3b	1369	130	148	36	112	75	43	8	79
ttll4	4051	327	449	304	611	363	217	143	501
si:ch211-67e16.11	2818	164	271	71	318	130	81	54	128
abcb6b	6426	233	171	81	270	160	85	53	159
nrp2b	9812	3008	3183	1219	4265	1207	1066	546	1916
pard3bb	6934	691	740	326	842	282	277	124	468
fn1a	8860	186	228	85	160	41	83	26	160
LOC103911621	1502	4	5	11	13	1	6	1	8
LOC110440043	1091	64	67	28	69	23	38	3	16
LOC108191299	117	0	3	0	0	1	0	0	0
si:dkey-103d23.3	2605	33	11	7	15	16	4	2	11
si:dkey-103d23.5	3365	70	41	17	73	55	19	4	19
LOC101883591	1201	4	16	0	10	13	4	0	0
crfb4	1726	196	265	68	197	292	63	66	179
LOC101883521	1798	84	77	17	38	22	29	26	22
upp2	1901	386	422	168	372	293	106	111	326
myo1b	5550	1605	1925	965	2537	1197	672	379	1608
si:ch211-261p9.4	2961	78	57	43	87	77	43	15	62
epha3	3541	755	868	321	995	369	310	126	401
stx19	2243	13	11	0	6	2	4	2	8
rsph1	1141	0	0	0	0	0	0	0	0
cln5	1332	0	0	0	0	0	0	0	0
fbxl3a	2315	0	0	7	0	0	0	0	0
mycbp2	15927	422	504	214	589	130	171	77	291
LOC101887044	787	0	0	0	0	5	0	0	0
scel	2442	432	442	62	342	128	243	103	294
slain1a	2826	21	7	11	1	2	2	2	0
LOC103911624	1732	0	0	0	0	0	0	0	0
ftr53	2114	0	0	0	0	0	0	0	0
kbtbd7	3066	0	0	0	0	0	0	0	0
zgc:101559	3185	0	0	0	0	0	0	0	0
rgcc	968	0	0	0	0	0	1	0	2
vwa8	5691	1	7	8	26	0	6	0	14
dgkh	13233	2330	2507	817	3113	1338	1012	493	1866
akap11	8790	2070	2093	840	2858	1323	796	463	1728
tnfsf11	1849	19	44	21	12	36	12	8	21
epsti1	5229	59	111	43	72	111	36	53	55
dnajc15	1143	265	158	90	297	120	144	45	144
enox1	2904	627	690	210	871	327	174	109	396
lacc1	2285	32	58	4	72	14	17	7	29
serp2	728	101	111	31	133	34	29	27	77
tsc22d1	5275	2754	2900	1117	3979	1187	997	365	1795
gtf2f2b	1053	0	0	0	0	9	2	0	0
kctd4	1562	25	22	1	6	2	4	0	7
si:dkey-239h2.3	832	9	8	18	10	7	14	1	8
vgll3	3278	17	25	9	21	4	17	9	10
LOC108191306	546	0	0	0	0	0	0	0	0
chmp2ba	663	0	0	0	0	0	0	0	0
crfb2	2741	6	21	0	10	24	3	2	10
crfb1	2408	0	0	0	0	0	0	0	0
pou1f1	1170	0	0	0	0	0	0	0	0
htr1fa	1569	0	0	0	0	0	0	0	0
si:ch211-277p15.1	5729	3	0	0	0	0	0	0	0
zgc:152951	3991	1	5	0	9	0	6	0	0
slc37a1	3241	183	424	177	426	251	208	29	263
pde9a	2064	77	115	25	121	110	45	33	120
wdr4	1877	98	89	58	141	92	57	35	130
si:ch211-140m22.7	2035	1075	1005	310	1394	484	504	162	742
ndufv3	1710	433	426	129	500	166	197	32	264
pknox1.1	3381	367	303	164	428	189	142	83	214
tmprss3a	2906	132	123	25	149	101	27	11	74
fgf9	1967	3	35	1	10	22	6	1	6
si:ch211-141e20.2	3381	367	252	108	226	254	86	75	120
pdxka	2905	243	268	106	318	217	157	50	167
LOC103911631	746	0	6	0	0	0	1	0	3
LOC103911649	3337	0	1	1	0	8	0	3	0
LOC101883688	1064	46	17	8	34	36	20	15	44
LOC110440044	817	0	0	4	5	8	0	1	14
LOC101883734	606	0	0	1	0	0	3	0	0
LOC103911633	840	0	0	0	0	12	2	0	0
si:dkey-287i17.4	283	0	0	0	0	0	0	0	0
LOC110440045	334	4	0	7	0	0	6	3	0
LOC103911635	807	0	3	0	3	3	1	3	0
LOC101883770	631	4	2	0	7	6	0	3	3
LOC101883821	1084	0	1	1	1	14	2	0	0
igsf3	3129	39	15	23	55	3	13	8	18
parp4	6647	170	279	152	298	256	120	41	188
vtcn1	1695	22	21	2	12	18	4	2	4
trim45	2524	84	47	30	42	70	32	16	37
man1a2	4634	1182	1136	520	1373	504	369	203	718
LOC103911637	222	8	1	2	2	11	0	4	9
fam46c	1779	187	308	95	498	132	127	30	188
gdap2	2658	274	318	190	383	279	203	104	298
wdr3	3044	974	959	484	1503	657	479	275	965
tbx15	3414	263	346	158	353	142	136	57	174
wars2	1238	59	44	31	69	64	27	12	22
hao2	2140	4	5	2	1	13	4	0	3
si:rp71-68n21.9	3104	0	2	1	1	0	0	2	0
hsd3b1	2399	10	8	1	10	3	0	4	12
LOC100535312	2088	41	45	5	32	27	22	2	16
pla1a	3370	36	35	14	18	15	11	4	33
popdc2	2645	9	29	9	34	4	19	1	23
cox17	514	83	116	48	107	81	51	32	124
si:rp71-68n21.12	3191	22	21	1	9	9	0	7	8
ska3	1806	13	4	7	23	11	10	4	0
sap18	900	60	56	29	65	46	59	11	87
LOC101884374	4497	30	27	6	22	18	8	0	25
lats2	7289	142	366	86	264	142	106	85	161
xpo4	4740	14	8	8	33	0	5	6	9
n6amt2	1351	0	5	5	7	0	3	1	5
il17d	639	0	0	0	0	0	0	0	0
ift88	3186	29	24	11	9	10	10	1	18
cryl1	1280	0	0	0	2	0	0	0	0
cx30.3	2240	0	0	0	0	0	0	0	0
gja3	4671	6	0	0	0	3	6	3	0
zmym2	5243	74	41	30	136	46	33	2	56
mphosph8	4113	6	8	0	0	0	0	0	0
aff3	4646	0	3	0	0	0	0	0	0
arhgef7a	5509	201	211	97	140	52	94	50	97
LOC110438834	2715	6	3	1	0	0	0	0	0
LOC108191313	3800	0	0	0	0	0	0	0	0
sox1a	1928	0	0	0	0	0	1	0	0
rev1	5789	34	112	21	67	34	22	20	38
txndc9	1343	30	28	19	40	18	24	15	29
mrpl30	775	47	48	19	15	22	22	13	5
zgc:162944	927	2	10	23	6	23	10	8	5
irg1	1511	0	0	0	0	0	0	0	0
kctd12.1	1868	0	1	0	4	1	0	0	0
lmo7a	7115	315	307	72	464	133	72	61	157
uchl3	987	0	0	2	0	7	0	2	0
si:dkey-57a22.11	4628	0	0	0	0	0	0	5	0
crygm7	759	0	0	0	0	0	0	0	0
si:dkey-57a22.14	528	0	0	0	0	0	0	0	0
crygm6	609	0	0	0	0	0	0	0	0
si:dkey-57a22.15	680	0	0	0	0	0	0	0	0
crygm1	609	6	1	0	2	16	1	1	14
zgc:153846	616	37	3	13	29	65	30	16	91
crygm2c	587	19	18	13	35	37	10	20	38
crygmxl1	887	1	13	1	26	7	3	1	37
crygm2b	587	20	36	22	29	51	13	24	51
crygm2a	641	1	1	4	7	31	0	1	4
crygm2e	643	27	12	18	21	46	15	14	65
crygm2d13	610	3784	2321	1977	3253	2081	2317	1001	2929
crygm2d11	624	1463	839	811	1393	1053	1086	592	1632
crygm2d15	623	1278	974	628	1235	773	1221	474	1608
crygm2d18	628	1957	1635	1075	2210	1366	2033	986	2344
crygm2d17	614	2317	1266	732	1730	1339	1626	1034	1641
crygm2d8	627	3328	1895	1782	3193	1722	2269	1000	2488
crygm2d14	620	1509	1025	709	1342	814	1373	498	1508
crygm2d16	620	1530	1239	1070	1796	1093	1417	699	2121
crygm2d6	685	406	278	104	284	232	430	159	377
crygm2d19	644	11	13	0	10	18	14	1	14
crygm2d12	602	6	13	0	10	0	4	1	0
crygm2d20	615	6	10	3	6	1	8	3	10
crygm2d5	516	3	1	5	8	3	10	1	3
crygm2d9	835	5	0	0	7	1	2	1	3
crygm2d4	608	10	0	3	6	1	5	5	2
crygm2d7	516	6	1	0	0	2	2	0	0
crygm2d3	525	7	4	8	1	1	5	0	2
crygm2d21	962	315	305	139	295	206	311	129	391
crygm2d10	624	538	713	332	516	206	526	188	921
crygm2d2	534	552	616	359	480	488	579	321	544
crygm2d1	629	4	10	12	17	20	15	9	6
crygm2f	588	0	1	2	0	0	0	0	0
crygm5	1062	10	30	14	9	12	21	8	74
crygm3	608	0	4	3	0	0	0	0	0
crygs4	599	0	0	0	0	0	0	0	0
crygs3	631	0	0	0	0	0	0	0	0
LOC567728	4328	5	15	10	41	12	7	0	9
etv5a	3495	61	50	29	52	35	29	13	27
si:dkey-189g17.2	2871	0	0	0	0	0	0	0	0
LOC108191375	154	1	0	0	1	0	0	0	0
itgb5	3362	27	39	46	135	16	35	7	92
tnfaip6	1247	0	5	0	0	0	0	0	7
rif1	7642	80	183	90	234	87	78	24	196
neb	19905	308	429	238	660	214	241	27	476
arl5a	1274	0	0	1	0	0	0	0	0
tsn	2323	0	0	0	0	0	0	0	0
si:dkey-91i10.2	5323	96	145	81	237	50	25	24	94
eaf2	1955	87	141	31	122	83	97	14	98
si:dkey-91i10.3	2176	114	179	100	166	166	72	57	129
rnd3b	1311	62	124	88	201	75	90	32	107
mmadhc	1460	522	514	224	586	251	208	88	426
lypd6	4255	409	368	132	426	294	166	108	281
lypd6b	2616	133	86	71	128	121	77	18	123
kif5c	4635	631	689	178	819	255	234	75	416
LOC110440046	993	18	5	7	18	0	6	2	4
LOC108191314	1685	25	44	14	17	51	4	8	16
map3k19	4172	66	89	14	101	99	27	27	112
ccnt2a	3767	706	706	241	770	437	366	124	426
acmsd	1568	104	82	106	144	87	63	21	127
tmem163a	4262	19	46	22	65	28	16	15	25
arl4cb	1489	0	0	0	0	0	0	0	3
sh3bp4	4021	1	3	0	9	0	0	0	3
LOC108191355	4383	10	0	0	7	3	3	0	6
LOC108191315	1213	10	0	2	1	0	2	0	3
cntnap5a	5673	0	0	0	1	0	0	0	0
tas2r203	918	0	0	0	0	0	0	0	0
gypc	1368	48	80	49	35	21	27	5	46
LOC103911639	4477	0	0	0	0	0	0	0	0
ndufa10	1275	763	770	524	1173	385	408	138	660
faima	1079	39	115	25	81	109	65	24	69
si:ch211-219a4.6	3518	21	30	21	42	59	32	25	50
si:ch211-219a4.3	5723	175	207	114	209	181	109	111	139
esyt3	3030	194	287	108	255	196	143	56	214
trnal-caa_4	84	0	0	0	0	7	4	0	0
dhrs12	1573	79	109	56	244	78	94	16	79
wdfy2	2049	377	410	170	373	150	144	56	181
ints6	4069	239	210	106	327	227	105	26	286
serpine3	1863	43	53	5	39	56	7	15	6
fam124a	2939	91	85	68	122	102	53	35	30
asb18	1753	0	0	0	0	0	0	0	0
cops8	1512	0	0	0	0	0	0	0	0
trim63b	1513	12	0	0	0	0	0	1	0
col6a3	33777	0	0	0	0	0	1	0	0
LOC108191316	4379	0	0	0	0	0	0	0	2
mlphb	2274	0	0	0	0	0	0	0	0
prlh	280	0	0	0	0	0	0	0	0
rpe	1595	0	0	0	0	0	0	0	0
LOC101886229	1130	0	0	0	0	0	0	0	0
LOC103911641	334	0	0	0	0	0	0	0	0
ackr3a	2568	1	4	0	0	0	0	0	10
lrrfip1a	7251	0	0	0	0	0	0	2	0
tyw5	1642	1	0	0	0	0	0	0	0
zgc:123096	1122	0	0	0	0	0	0	0	0
pgap1	8824	1	0	0	0	0	0	0	0
hecw2a	7097	0	0	0	0	0	0	0	0
stk17b	1573	0	0	0	0	0	0	0	0
zgc:153521	2264	0	0	0	0	15	0	0	0
zgc:153901	2074	0	0	1	3	0	0	1	0
nabp1a	2100	0	1	15	12	0	15	1	0
trnas-cga_37	82	0	0	0	0	0	0	0	0
cavin2a	2016	0	0	0	0	0	0	0	0
tmeff2a	2157	402	576	258	623	194	107	66	350
LOC103911643	185	0	0	0	3	0	0	2	0
LOC103911644	185	0	5	1	5	0	0	2	0
LOC100534830	2933	0	4	2	0	6	0	0	0
LOC103911645	482	9	9	2	0	7	0	5	3
slc39a10	6595	840	1406	707	1871	811	623	207	1085
dnah7	12716	168	198	80	186	254	74	75	86
si:ch211-284a16.2	7534	11	33	10	37	12	0	1	1
si:ch211-260b17.5	576	5	2	0	6	6	4	0	3
trnal-caa_5	84	0	3	0	0	0	0	1	1
si:ch211-260b17.6	2585	22	43	22	70	73	11	13	43
lrch1	5684	741	1006	312	1200	580	363	250	653
esd	1202	263	289	130	357	223	117	56	224
htr2aa	2488	42	60	18	54	52	23	9	26
LOC101882178	1696	13	0	0	0	6	1	0	1
med4	1239	185	146	84	182	88	74	32	87
itm2bb	1478	690	855	359	1006	596	418	174	701
epc2	2837	614	800	256	1024	377	304	138	613
acvr2aa	6486	2134	2510	1142	3590	1510	901	479	2039
zeb2a	6561	11	7	2	0	0	0	2	0
gtdc1	3374	67	84	31	81	85	49	11	77
arhgap15	2855	25	54	13	68	63	13	13	13
arglu1a	1731	1352	1457	512	1750	762	543	326	989
efnb2a	999	608	548	224	802	257	224	98	443
si:dkey-23f21.1	363	6	12	0	2	0	0	4	1
LOC103911648	380	0	7	0	2	0	0	0	3
LOC110440047	515	0	0	0	0	12	0	8	0
si:rp71-84d19.3	1882	10	20	5	22	25	2	8	21
slc10a2	1826	14	86	36	105	64	45	30	42
LOC103911657	2994	0	0	0	15	5	0	0	0
tlr20.2	2997	0	0	0	0	0	0	0	0
LOC572462	2900	0	0	0	0	0	0	0	0
